full_name,max_slack
mix1_data_o_reg_reg[72]/RESETN,INFINITY
mix1_data_o_reg_reg[112]/RESETN,INFINITY
mix1_data_o_reg_reg[43]/RESETN,INFINITY
mix1_data_o_reg_reg[96]/RESETN,INFINITY
mix1_data_o_reg_reg[93]/RESETN,INFINITY
mix1_data_o_reg_reg[92]/RESETN,INFINITY
sub1_data_reg_reg[0]/RESETN,INFINITY
sub1_data_reg_reg[4]/RESETN,INFINITY
sub1_state_reg[3]/RESETN,INFINITY
ks1_ready_o_reg/RESETN,INFINITY
round_reg[2]/RESETN,INFINITY
ks1_key_reg_reg[118]/RESETN,INFINITY
ks1_key_reg_reg[100]/RESETN,INFINITY
ks1_state_reg[0]/RESETN,INFINITY
addroundkey_ready_o_reg/RESETN,INFINITY
ks1_key_reg_reg[36]/RESETN,INFINITY
ks1_key_reg_reg[54]/RESETN,INFINITY
addroundkey_data_reg_reg[34]/RESETN,INFINITY
addroundkey_data_reg_reg[90]/RESETN,INFINITY
addroundkey_data_reg_reg[32]/RESETN,INFINITY
addroundkey_data_reg_reg[86]/RESETN,INFINITY
addroundkey_data_reg_reg[31]/RESETN,INFINITY
addroundkey_data_reg_reg[85]/RESETN,INFINITY
addroundkey_data_reg_reg[30]/RESETN,INFINITY
addroundkey_data_reg_reg[82]/RESETN,INFINITY
addroundkey_data_reg_reg[81]/RESETN,INFINITY
addroundkey_data_reg_reg[3]/RESETN,INFINITY
addroundkey_data_reg_reg[29]/RESETN,INFINITY
addroundkey_data_reg_reg[79]/RESETN,INFINITY
addroundkey_data_reg_reg[67]/RESETN,INFINITY
addroundkey_data_reg_reg[63]/RESETN,INFINITY
addroundkey_data_reg_reg[72]/RESETN,INFINITY
addroundkey_data_reg_reg[103]/RESETN,INFINITY
addroundkey_data_reg_reg[7]/RESETN,INFINITY
addroundkey_data_reg_reg[102]/RESETN,INFINITY
addroundkey_data_reg_reg[80]/RESETN,INFINITY
addroundkey_data_reg_reg[83]/RESETN,INFINITY
addroundkey_data_reg_reg[12]/RESETN,INFINITY
addroundkey_data_reg_reg[45]/RESETN,INFINITY
addroundkey_data_reg_reg[118]/RESETN,INFINITY
addroundkey_data_reg_reg[111]/RESETN,INFINITY
addroundkey_data_reg_reg[23]/RESETN,INFINITY
addroundkey_data_reg_reg[5]/RESETN,INFINITY
addroundkey_data_reg_reg[53]/RESETN,INFINITY
addroundkey_data_reg_reg[17]/RESETN,INFINITY
addroundkey_data_reg_reg[15]/RESETN,INFINITY
addroundkey_data_reg_reg[124]/RESETN,INFINITY
addroundkey_data_reg_reg[6]/RESETN,INFINITY
addroundkey_data_reg_reg[75]/RESETN,INFINITY
addroundkey_data_reg_reg[56]/RESETN,INFINITY
addroundkey_data_reg_reg[105]/RESETN,INFINITY
addroundkey_data_reg_reg[38]/RESETN,INFINITY
addroundkey_data_reg_reg[97]/RESETN,INFINITY
addroundkey_data_reg_reg[100]/RESETN,INFINITY
addroundkey_data_reg_reg[24]/RESETN,INFINITY
addroundkey_data_reg_reg[25]/RESETN,INFINITY
addroundkey_data_reg_reg[73]/RESETN,INFINITY
addroundkey_data_reg_reg[74]/RESETN,INFINITY
addroundkey_data_reg_reg[76]/RESETN,INFINITY
addroundkey_data_reg_reg[78]/RESETN,INFINITY
addroundkey_data_reg_reg[65]/RESETN,INFINITY
addroundkey_data_reg_reg[60]/RESETN,INFINITY
addroundkey_data_reg_reg[57]/RESETN,INFINITY
addroundkey_data_reg_reg[1]/RESETN,INFINITY
addroundkey_data_reg_reg[54]/RESETN,INFINITY
addroundkey_data_reg_reg[9]/RESETN,INFINITY
addroundkey_data_reg_reg[121]/RESETN,INFINITY
addroundkey_data_reg_reg[120]/RESETN,INFINITY
addroundkey_data_reg_reg[115]/RESETN,INFINITY
addroundkey_data_reg_reg[113]/RESETN,INFINITY
addroundkey_data_reg_reg[44]/RESETN,INFINITY
addroundkey_data_reg_reg[110]/RESETN,INFINITY
addroundkey_data_reg_reg[10]/RESETN,INFINITY
addroundkey_data_reg_reg[107]/RESETN,INFINITY
addroundkey_data_reg_reg[106]/RESETN,INFINITY
addroundkey_data_reg_reg[92]/RESETN,INFINITY
addroundkey_data_reg_reg[33]/RESETN,INFINITY
