ep_name,ep_max_rise_slack,ep_max_fall_slack,ep_max_rise_arrival,ep_max_fall_arrival,sp_name,launch_clock_latency,clock_latency_mean,clock_latency_std,path_required,path_arrival,path_slack,path_num_points,path_crpr,ep_ck_name,rise_fall
rd1_L_o_reg[4]/D,53.913162,81.846115,226.357162,219.699753,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,301.545868,219.699768,81.846115,13,0.000244,rd1_L_o_reg[4]/CLK,fall
rd1_L_o_reg[27]/D,62.428574,82.423401,222.248062,225.219940,stage1_iter_reg[3]/CLK,55.168362,55.168362,0.000000,307.643341,225.219940,82.423401,17,0.000244,rd1_L_o_reg[27]/CLK,fall
rd1_L_o_reg[19]/D,55.507828,83.970306,224.448441,218.308838,stage1_iter_reg[3]/CLK,55.168362,55.168362,0.000000,302.279144,218.308838,83.970306,15,0.000244,rd1_L_o_reg[19]/CLK,fall
rd1_L_o_reg[30]/D,52.910599,86.684097,228.218246,217.714340,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,304.398438,217.714340,86.684097,15,0.000244,rd1_L_o_reg[30]/CLK,fall
rd1_L_o_reg[12]/D,58.357132,89.561752,226.944870,218.958450,stage1_iter_reg[1]/CLK,55.164902,55.164902,0.000000,308.520203,218.958450,89.561752,17,0.000244,rd1_L_o_reg[12]/CLK,fall
rd1_L_o_reg[21]/D,60.841309,92.270111,219.866486,212.054779,stage1_iter_reg[3]/CLK,55.168362,55.168362,0.000000,304.32489,212.054779,92.270111,15,0.000244,rd1_L_o_reg[21]/CLK,fall
stage1_iter_reg[0]/D,89.845901,98.616486,198.875046,203.164963,stage1_iter_reg[3]/CLK,55.168362,55.168362,0.000000,296.397064,197.780579,98.616486,13,0.000244,stage1_iter_reg[0]/CLK,fall
data_o_reg[5]/D,79.819107,98.836243,154.068817,148.023590,rd1_L_o_reg[23]/CLK,36.513317,36.513317,0.000000,246.859833,148.023590,98.836243,5,0.000000,data_o_reg[5]/CLK,fall
data_o_reg[13]/D,80.152222,99.588013,162.409561,156.455505,rd1_L_o_reg[22]/CLK,54.030499,54.030499,0.000000,256.043518,156.455521,99.588013,5,0.000000,data_o_reg[13]/CLK,fall
stage1_iter_reg[1]/D,106.604858,116.242172,188.105682,192.455368,stage1_iter_reg[0]/CLK,54.749596,54.749596,0.000000,298.17218,181.930023,116.242172,11,0.000244,stage1_iter_reg[1]/CLK,fall
data_o_reg[15]/D,89.076889,118.327682,170.648636,164.215073,rd1_L_o_reg[30]/CLK,53.436626,53.436626,0.000000,282.542755,164.215057,118.327682,5,0.000244,data_o_reg[15]/CLK,fall
data_o_reg[10]/D,107.436020,123.075928,129.261200,127.821930,rd1_R_o_reg[14]/CLK,54.033386,54.033386,0.000000,250.897858,127.821922,123.075928,5,0.000000,data_o_reg[10]/CLK,fall
data_o_reg[14]/D,111.341751,127.527924,130.378036,128.044724,rd1_R_o_reg[30]/CLK,54.489147,54.489147,0.000000,255.572647,128.044739,127.527924,5,0.000000,data_o_reg[14]/CLK,fall
data_o_reg[60]/D,122.178474,135.497025,112.970070,111.816269,rd1_R_o_reg[16]/CLK,36.864628,36.864628,0.000000,247.313293,111.816269,135.497025,5,0.000000,data_o_reg[60]/CLK,fall
data_o_reg[55]/D,109.742325,137.550659,151.044449,145.274261,rd1_L_o_reg[25]/CLK,36.770088,36.770088,0.000000,282.824921,145.274261,137.550659,5,0.000244,data_o_reg[55]/CLK,fall
data_o_reg[53]/D,109.003540,138.068222,173.000336,167.006119,rd1_L_o_reg[17]/CLK,53.737434,53.737434,0.000000,305.074341,167.006119,138.068222,5,0.000244,data_o_reg[53]/CLK,fall
data_o_reg[39]/D,110.363098,138.964828,170.184296,164.394974,rd1_L_o_reg[27]/CLK,52.759277,52.759277,0.000000,303.359802,164.394974,138.964828,5,0.000244,data_o_reg[39]/CLK,fall
data_o_reg[41]/D,122.485428,140.565247,112.759491,107.447884,rd1_L_o_reg[2]/CLK,5.201362,5.201362,0.000000,248.013138,107.447884,140.565247,5,0.000000,data_o_reg[41]/CLK,fall
data_o_reg[11]/D,116.042267,144.542953,144.333893,138.272812,rd1_L_o_reg[14]/CLK,30.209806,30.209806,0.000000,282.815765,138.272812,144.542953,5,0.000244,data_o_reg[11]/CLK,fall
data_o_reg[21]/D,116.833679,145.489258,165.692871,159.962769,rd1_L_o_reg[21]/CLK,52.434715,52.434715,0.000000,305.452026,159.962769,145.489258,5,0.000244,data_o_reg[21]/CLK,fall
