full_name,actual_rise_transition_max,actual_fall_transition_max,cached_ceff_max_rise,cached_ceff_max_fall,cached_ceff_min_rise,cached_ceff_min_fall,fanout_load,pin_capacitance_max,direction,max_rise_slack,max_fall_slack,max_rise_arrival,max_fall_arrival,actual_rise_transition_min,actual_fall_transition_min,min_rise_slack,min_fall_slack,min_rise_arrival,min_fall_arrival,x_coordinate,y_coordinate
g41237__1617/Y,23.649019,22.395124,0.003717,0.003716,0.002587,0.002534,0.000000,0.000000,out,-94.359756,-90.263596,285.489899,278.366119,16.526356,13.456233,34.652176,30.583120,55.790108,55.541004,14850.000000,5103.000000
FE_OFC333_n_19231/Y,13.435474,11.832993,0.003981,0.003960,0.003283,0.003242,0.000000,0.000000,out,-90.724152,-94.444977,281.376312,282.856049,11.162234,10.270058,42.471760,43.904327,62.246021,60.639549,13878.000000,5013.000000
g52540/Y,25.036545,28.685246,0.000682,0.000682,0.000624,0.000625,0.000000,0.000000,out,-54.789246,-74.254486,339.307800,341.142517,11.444799,22.190775,-21.387894,4.363407,41.891487,40.733082,3690.000000,3483.000000
FE_OFC371_n_739/Y,24.700211,23.338871,0.002112,0.002109,0.001469,0.001472,0.000000,0.000000,out,43.213089,42.982956,222.297745,231.808151,17.904078,15.571646,1.331432,-21.722179,41.610809,40.067581,3492.000000,4473.000000
FE_OFC370_n_9306/Y,14.274440,13.900351,0.000717,0.000714,0.000607,0.000590,0.000000,0.000000,out,53.630386,51.872147,213.316574,222.407547,11.503285,9.800369,-4.193409,-26.922947,35.403763,33.978287,3708.000000,4473.000000
g1090/Y,18.354172,21.827480,0.000554,0.000556,0.000504,0.000478,0.000000,0.000000,out,-53.665070,-70.285858,338.328796,339.415283,10.306506,14.069741,-26.739876,-3.503498,36.994041,35.573036,3798.000000,4473.000000
g42064__51468/Y,17.504984,17.084734,0.000624,0.000625,0.000386,0.000390,0.000000,0.000000,out,-90.252670,-88.010834,218.127014,212.338181,11.977973,9.102944,37.856361,0.868652,40.607445,36.399120,13716.000000,7173.000000
g42200/Y,19.582928,17.052382,0.000481,0.000478,0.000408,0.000375,0.000000,0.000000,out,21.496063,39.411606,216.135468,214.744247,15.555258,11.268864,34.134727,4.434330,44.948936,38.495483,12726.000000,9333.000000
g43947/Y,39.422909,31.997578,0.001315,0.001312,0.000999,0.000955,0.000000,0.000000,out,1.378067,21.507233,227.487610,225.296844,29.991322,22.198689,36.624123,8.707272,47.784248,43.519485,12294.000000,8883.000000
g40524__6131/Y,25.537527,23.653147,0.000786,0.000785,0.000722,0.000704,0.000000,0.000000,out,-112.853195,-103.470795,362.088348,363.208862,9.636930,12.644815,35.056664,11.096155,45.311054,41.463005,15372.000000,13743.000000
g42190/Y,20.157137,17.462000,0.004767,0.004759,0.004158,0.004026,0.000000,0.000000,out,-108.291077,-107.552307,220.725266,215.487274,17.227560,13.559962,49.737823,17.018019,36.301384,34.222916,4122.000000,12123.000000
g42067__46610/Y,28.964308,24.797920,0.001705,0.001683,0.001315,0.001328,0.000000,0.000000,out,-113.658821,-107.113716,217.987122,212.751953,17.519962,16.989176,66.670227,35.756187,38.095490,35.338612,7182.000000,13113.000000
g257/Y,17.333012,14.751295,0.000780,0.000780,0.000523,0.000527,0.000000,0.000000,out,-114.768303,-116.667702,216.449463,218.937027,9.391068,9.609188,72.983307,40.438271,39.257744,35.760490,7938.000000,12033.000000
g44525/Y,16.600336,14.773851,0.001386,0.001391,0.001008,0.001067,0.000000,0.000000,out,-106.728661,-114.995125,212.482300,210.482849,11.746912,9.701180,55.205765,31.437031,38.324966,36.171894,8082.000000,12033.000000
g47288/Y,7.415749,6.802916,0.000687,0.000686,0.000434,0.000431,0.000000,0.000000,out,-103.656464,-107.392807,213.493896,205.691513,5.576398,5.437572,65.930984,50.857693,32.655987,32.549015,9162.000000,14193.000000
g47208/Y,70.974518,52.041271,0.003630,0.003620,0.003255,0.003246,0.000000,0.000000,out,-22.023773,-12.695587,254.879044,241.845978,46.292786,43.975903,18.578758,15.919632,38.425163,36.606728,3888.000000,10953.000000
